字词频统计_语料库在线(www.cncorpus.org)
2020/8/26 2:05:22

序号		字词		出现次数		出现频率
1		,		199		9.7121
2		管理		90		4.3924
3		办法		70		3.4163
4		黄河		65		3.1723
5		水利		46		2.245
6		（		35		1.7082
7		）		35		1.7082
8		的		34		1.6593
9		试行		34		1.6593
10		条例		33		1.6105
11		关于		28		1.3665
12		人民共和国		28		1.3665
13		实施		28		1.3665
14		中华		28		1.3665
15		工程		27		1.3177
16		建设		27		1.3177
17		委员会		26		1.2689
18		规定		25		1.2201
19		工作		24		1.1713
20		水		24		1.1713
21		《		22		1.0737
22		》		22		1.0737
23		意见		21		1.0249
24		水利部		20		0.9761
25		项目		19		0.9273
26		和		18		0.8785
27		暂行		18		0.8785
28		法		15		0.7321
29		印发		15		0.7321
30		河道		13		0.6345
31		河南省		13		0.6345
32		(		11		0.5368
33		)		11		0.5368
34		取		11		0.5368
35		许可		11		0.5368
36		国务院		10		0.488
37		南水北调		10		0.488
38		通知		10		0.488
39		委		10		0.488
40		下游		10		0.488
41		安全		9		0.4392
42		黄		9		0.4392
43		水利工程		9		0.4392
44		水资源		9		0.4392
45		指导		9		0.4392
46		制度		9		0.4392
47		流域		8		0.3904
48		前期		8		0.3904
49		细则		8		0.3904
50		河		7		0.3416
51		水污染		7		0.3416
52		与		7		0.3416
53		监督		6		0.2928
54		考核		6		0.2928
55		年		6		0.2928
56		企业		6		0.2928
57		事件		6		0.2928
58		水电		6		0.2928
59		水文		6		0.2928
60		质量		6		0.2928
61		重大		6		0.2928
62		资质		6		0.2928
63		\		5		0.244
64		3000		5		0.244
65		u		5		0.244
66		保护		5		0.244
67		补偿		5		0.244
68		采砂		5		0.244
69		第		5		0.244
70		发展		5		0.244
71		改革		5		0.244
72		国家		5		0.244
73		行政		5		0.244
74		计划		5		0.244
75		全文		5		0.244
76		事		5		0.244
77		水量		5		0.244
78		调度		5		0.244
79		投标		5		0.244
80		投资		5		0.244
81		长		5		0.244
82		招标		5		0.244
83		“		4		0.1952
84		”		4		0.1952
85		办公厅		4		0.1952
86		报告		4		0.1952
87		标准		4		0.1952
88		大中型		4		0.1952
89		方案		4		0.1952
90		规划		4		0.1952
91		基本建设		4		0.1952
92		及		4		0.1952
93		权		4		0.1952
94		生态		4		0.1952
95		施工		4		0.1952
96		实行		4		0.1952
97		信息		4		0.1952
98		政策		4		0.1952
99		最		4		0.1952
100		、		3		0.1464
101		安置		3		0.1464
102		筹集		3		0.1464
103		发布		3		0.1464
104		法规		3		0.1464
105		防洪		3		0.1464
106		防汛		3		0.1464
107		行动		3		0.1464
108		号令		3		0.1464
109		河湖		3		0.1464
110		机关		3		0.1464
111		基金		3		0.1464
112		加快		3		0.1464
113		加强		3		0.1464
114		监察		3		0.1464
115		解读		3		0.1464
116		决定		3		0.1464
117		全国		3		0.1464
118		人员		3		0.1464
119		若干		3		0.1464
120		省际		3		0.1464
121		使用		3		0.1464
122		事业单位		3		0.1464
123		水土保持		3		0.1464
124		统计法		3		0.1464
125		委托		3		0.1464
126		修订		3		0.1464
127		蓄		3		0.1464
128		严格		3		0.1464
129		移民		3		0.1464
130		运用		3		0.1464
131		责任		3		0.1464
132		征地		3		0.1464
133		制		3		0.1464
134		滞洪区		3		0.1464
135		专业		3		0.1464
136		追究		3		0.1464
137		办理		2		0.0976
138		保守		2		0.0976
139		编制		2		0.0976
140		部		2		0.0976
141		承包		2		0.0976
142		出台		2		0.0976
143		处分		2		0.0976
144		处理		2		0.0976
145		带薪		2		0.0976
146		等级		2		0.0976
147		防洪工程		2		0.0976
148		防治		2		0.0976
149		费		2		0.0976
150		负责人		2		0.0976
151		干部		2		0.0976
152		纲要		2		0.0976
153		公开		2		0.0976
154		功能		2		0.0976
155		国家赔偿		2		0.0976
156		河南		2		0.0976
157		黄河水		2		0.0976
158		会议		2		0.0976
159		机制		2		0.0976
160		基础		2		0.0976
161		基建		2		0.0976
162		建筑业		2		0.0976
163		节水		2		0.0976
164		节约		2		0.0976
165		经费		2		0.0976
166		纠纷		2		0.0976
167		局		2		0.0976
168		开发		2		0.0976
169		开展		2		0.0976
170		勘察		2		0.0976
171		口		2		0.0976
172		跨省		2		0.0976
173		秘密		2		0.0976
174		排污		2		0.0976
175		评标		2		0.0976
176		评价		2		0.0976
177		区		2		0.0976
178		全面		2		0.0976
179		入		2		0.0976
180		设计		2		0.0976
181		设施		2		0.0976
182		生产		2		0.0976
183		十三五		2		0.0976
184		市场		2		0.0976
185		收费		2		0.0976
186		水库		2		0.0976
187		水质		2		0.0976
188		四		2		0.0976
189		调查		2		0.0976
190		突发		2		0.0976
191		推行		2		0.0976
192		网络		2		0.0976
193		系统		2		0.0976
194		休假		2		0.0976
195		验收		2		0.0976
196		引黄		2		0.0976
197		应急		2		0.0976
198		用		2		0.0976
199		用地		2		0.0976
200		有关		2		0.0976
201		预防		2		0.0976
202		责任制		2		0.0976
203		招聘		2		0.0976
204		征收		2		0.0976
205		政务		2		0.0976
206		职工		2		0.0976
207		中办		2		0.0976
208		中共中央		2		0.0976
209		中国共产党		2		0.0976
210		资金		2		0.0976
211		资源		2		0.0976
212		总		2		0.0976
213		做好		2		0.0976
214		/w		1		0.0488
215		：		1		0.0488
216		[		1		0.0488
217		]		1		0.0488
218		11		1		0.0488
219		2		1		0.0488
220		2009		1		0.0488
221		2016		1		0.0488
222		2019		1		0.0488
223		2020		1		0.0488
224		23		1		0.0488
225		24		1		0.0488
226		25		1		0.0488
227		8		1		0.0488
228		案件		1		0.0488
229		办		1		0.0488
230		保障		1		0.0488
231		报送		1		0.0488
232		备案		1		0.0488
233		边界		1		0.0488
234		编		1		0.0488
235		标志		1		0.0488
236		标准化		1		0.0488
237		表决		1		0.0488
238		补充		1		0.0488
239		补助		1		0.0488
240		部属		1		0.0488
241		部委		1		0.0488
242		财经		1		0.0488
243		财政		1		0.0488
244		参与		1		0.0488
245		策		1		0.0488
246		成果		1		0.0488
247		程序		1		0.0488
248		处罚		1		0.0488
249		处级		1		0.0488
250		处置		1		0.0488
251		传播		1		0.0488
252		创新		1		0.0488
253		次		1		0.0488
254		促进		1		0.0488
255		大坝		1		0.0488
256		大型		1		0.0488
257		单位		1		0.0488
258		党风		1		0.0488
259		党内		1		0.0488
260		党员		1		0.0488
261		党组		1		0.0488
262		道路		1		0.0488
263		等		1		0.0488
264		堤防		1		0.0488
265		地方志		1		0.0488
266		地区		1		0.0488
267		地下水		1		0.0488
268		电子		1		0.0488
269		顶		1		0.0488
270		督查		1		0.0488
271		对		1		0.0488
272		阀门		1		0.0488
273		法人		1		0.0488
274		反应		1		0.0488
275		范围		1		0.0488
276		方法		1		0.0488
277		放假		1		0.0488
278		分配		1		0.0488
279		服务		1		0.0488
280		浮桥		1		0.0488
281		妇女		1		0.0488
282		副		1		0.0488
283		概		1		0.0488
284		稿		1		0.0488
285		个		1		0.0488
286		个人所得税		1		0.0488
287		工作人员		1		0.0488
288		公布		1		0.0488
289		共享		1		0.0488
290		供水		1		0.0488
291		鼓励		1		0.0488
292		管理费		1		0.0488
293		灌溉		1		0.0488
294		规约		1		0.0488
295		国办		1		0.0488
296		国土		1		0.0488
297		过错		1		0.0488
298		还		1		0.0488
299		涵		1		0.0488
300		行为		1		0.0488
301		号		1		0.0488
302		河堤		1		0.0488
303		河务		1		0.0488
304		核		1		0.0488
305		核实		1		0.0488
306		核算		1		0.0488
307		后		1		0.0488
308		湖		1		0.0488
309		湖泊		1		0.0488
310		互联网		1		0.0488
311		环境		1		0.0488
312		环境保护		1		0.0488
313		恢复		1		0.0488
314		回收		1		0.0488
315		活力		1		0.0488
316		获取		1		0.0488
317		激发		1		0.0488
318		激励		1		0.0488
319		几种		1		0.0488
320		纪律		1		0.0488
321		纪律处分		1		0.0488
322		纪念日		1		0.0488
323		技术		1		0.0488
324		技术人员		1		0.0488
325		加大		1		0.0488
326		价格		1		0.0488
327		监控		1		0.0488
328		监理		1		0.0488
329		减灾		1		0.0488
330		建立		1		0.0488
331		健康		1		0.0488
332		鉴定		1		0.0488
333		江河		1		0.0488
334		交易		1		0.0488
335		焦作		1		0.0488
336		节余		1		0.0488
337		进一步		1		0.0488
338		经济合同		1		0.0488
339		经商		1		0.0488
340		举报		1		0.0488
341		具体		1		0.0488
342		抗旱		1		0.0488
343		科研		1		0.0488
344		控		1		0.0488
345		快速		1		0.0488
346		劳动模范		1		0.0488
347		力度		1		0.0488
348		利用		1		0.0488
349		联		1		0.0488
350		联防		1		0.0488
351		廉政		1		0.0488
352		廉政建设		1		0.0488
353		林		1		0.0488
354		林业		1		0.0488
355		领导		1		0.0488
356		令		1		0.0488
357		乱		1		0.0488
358		论证		1		0.0488
359		内		1		0.0488
360		内陆		1		0.0488
361		能源		1		0.0488
362		年度		1		0.0488
363		年节		1		0.0488
364		农田水利		1		0.0488
365		培训		1		0.0488
366		配偶		1		0.0488
367		破格		1		0.0488
368		气候		1		0.0488
369		签证		1		0.0488
370		强制性		1		0.0488
371		切实		1		0.0488
372		沁		1		0.0488
373		清		1		0.0488
374		清查		1		0.0488
375		秋池		1		0.0488
376		权限		1		0.0488
377		权益		1		0.0488
378		确权		1		0.0488
379		人		1		0.0488
380		人大常委会		1		0.0488
381		人民政府		1		0.0488
382		人事部		1		0.0488
383		任职		1		0.0488
384		日常		1		0.0488
385		三门峡		1		0.0488
386		上		1		0.0488
387		社会		1		0.0488
388		申请		1		0.0488
389		深入		1		0.0488
390		审查		1		0.0488
