字词频统计_语料库在线(www.cncorpus.org)
2020/8/26 2:06:55

序号		字词		出现次数		出现频率
1		,		213		6.6314
2		黄河		113		3.5181
3		工作		77		2.3973
4		山东		60		1.868
5		委		46		1.4321
6		黄		45		1.401
7		召开		43		1.3387
8		“		40		1.2453
9		”		40		1.2453
10		—		38		1.1831
11		水利部		38		1.1831
12		发展		27		0.8406
13		河务		27		0.8406
14		局		27		0.8406
15		2019		25		0.7783
16		和		25		0.7783
17		部署		24		0.7472
18		年		24		0.7472
19		在		22		0.6849
20		保护		21		0.6538
21		、		20		0.6227
22		防		20		0.6227
23		：		19		0.5915
24		防御		18		0.5604
25		新		18		0.5604
26		会议		17		0.5293
27		凌		16		0.4981
28		流域		16		0.4981
29		生态		16		0.4981
30		水利		16		0.4981
31		高		15		0.467
32		水		15		0.467
33		党组		14		0.4359
34		防汛		14		0.4359
35		质量		14		0.4359
36		的		13		0.4047
37		管理		13		0.4047
38		灾害		13		0.4047
39		，		12		0.3736
40		全河		12		0.3736
41		水旱		12		0.3736
42		推进		12		0.3736
43		习近平		12		0.3736
44		学习		12		0.3736
45		与		12		0.3736
46		工作会议		11		0.3425
47		全国		11		0.3425
48		2018		10		0.3113
49		不		10		0.3113
50		第		10		0.3113
51		精神		10		0.3113
52		年度		10		0.3113
53		心		10		0.3113
54		做好		10		0.3113
55		《		9		0.2802
56		》		9		0.2802
57		安排		9		0.2802
58		安全		9		0.2802
59		初		9		0.2802
60		河		9		0.2802
61		建设		9		0.2802
62		力		9		0.2802
63		时代		9		0.2802
64		使命		9		0.2802
65		组		9		0.2802
66		座谈会		9		0.2802
67		（		8		0.2491
68		）		8		0.2491
69		会		8		0.2491
70		记		8		0.2491
71		控		8		0.2491
72		平		8		0.2491
73		强调		8		0.2491
74		山东省		8		0.2491
75		上		8		0.2491
76		巡视		8		0.2491
77		改革		7		0.2179
78		关键		7		0.2179
79		落实		7		0.2179
80		台风		7		0.2179
81		忘		7		0.2179
82		疫情		7		0.2179
83		重点		7		0.2179
84		重要		7		0.2179
85		主题		7		0.2179
86		专题		7		0.2179
87		～		6		0.1868
88		春		6		0.1868
89		次		6		0.1868
90		鄂		6		0.1868
91		贯彻		6		0.1868
92		灌		6		0.1868
93		行动		6		0.1868
94		教育		6		0.1868
95		竟		6		0.1868
96		举办		6		0.1868
97		牢记		6		0.1868
98		领导		6		0.1868
99		期		6		0.1868
100		全面		6		0.1868
101		调研		6		0.1868
102		幸福		6		0.1868
103		2020		5		0.1557
104		党		5		0.1557
105		动员		5		0.1557
106		工会		5		0.1557
107		洪水		5		0.1557
108		积极		5		0.1557
109		基层		5		0.1557
110		基调		5		0.1557
111		纪检		5		0.1557
112		讲话		5		0.1557
113		京		5		0.1557
114		开展		5		0.1557
115		期间		5		0.1557
116		启动		5		0.1557
117		强		5		0.1557
118		全力		5		0.1557
119		确保		5		0.1557
120		任务		5		0.1557
121		审计		5		0.1557
122		水资源		5		0.1557
123		四		5		0.1557
124		调度		5		0.1557
125		统筹		5		0.1557
126		推动		5		0.1557
127		研讨		5		0.1557
128		引黄		5		0.1557
129		应急		5		0.1557
130		用		5		0.1557
131		岳中明		5		0.1557
132		郑州		5		0.1557
133		中心		5		0.1557
134		助		5		0.1557
135		专项		5		0.1557
136		总		5		0.1557
137		总书记		5		0.1557
138		！		4		0.1245
139		&quot;		4		0.1245
140		部门		4		0.1245
141		部长		4		0.1245
142		持续		4		0.1245
143		大河		4		0.1245
144		督查		4		0.1245
145		段		4		0.1245
146		对		4		0.1245
147		扶贫		4		0.1245
148		改革开放		4		0.1245
149		行		4		0.1245
150		河道		4		0.1245
151		级		4		0.1245
152		解读		4		0.1245
153		进一步		4		0.1245
154		扩大		4		0.1245
155		流		4		0.1245
156		流量		4		0.1245
157		谱写		4		0.1245
158		七		4		0.1245
159		人民		4		0.1245
160		首次		4		0.1245
161		听取		4		0.1245
162		为		4		0.1245
163		下		4		0.1245
164		响应		4		0.1245
165		小组		4		0.1245
166		汛		4		0.1245
167		战		4		0.1245
168		治理		4		0.1245
169		中国		4		0.1245
170		中央		4		0.1245
171		-		3		0.0934
172		&#183;		3		0.0934
173		Ⅳ		3		0.0934
174		八		3		0.0934
175		保障		3		0.0934
176		补		3		0.0934
177		出现		3		0.0934
178		传达		3		0.0934
179		创新		3		0.0934
180		春节		3		0.0934
181		大		3		0.0934
182		大会		3		0.0934
183		担		3		0.0934
184		单位		3		0.0934
185		到		3		0.0934
186		定点		3		0.0934
187		防洪		3		0.0934
188		工程		3		0.0934
189		关于		3		0.0934
190		规范		3		0.0934
191		规划		3		0.0934
192		国务院		3		0.0934
193		汇报		3		0.0934
194		会商		3		0.0934
195		机构		3		0.0934
196		机关		3		0.0934
197		机遇		3		0.0934
198		计划		3		0.0934
199		冀		3		0.0934
200		监察		3		0.0934
201		监管		3		0.0934
202		践		3		0.0934
203		江河		3		0.0934
204		届		3		0.0934
205		进入		3		0.0934
206		经济		3		0.0934
207		九		3		0.0934
208		局面		3		0.0934
209		举行		3		0.0934
210		聚		3		0.0934
211		抗旱		3		0.0934
212		考察		3		0.0934
213		利		3		0.0934
214		六		3		0.0934
215		乱		3		0.0934
216		马		3		0.0934
217		努力		3		0.0934
218		平稳		3		0.0934
219		奇		3		0.0934
220		抢		3		0.0934
221		清		3		0.0934
222		情		3		0.0934
223		入		3		0.0934
224		陕西		3		0.0934
225		商会		3		0.0934
226		生产		3		0.0934
227		湾		3		0.0934
228		完成		3		0.0934
229		万		3		0.0934
230		委员会		3		0.0934
231		问题		3		0.0934
232		下游		3		0.0934
233		向		3		0.0934
234		新篇章		3		0.0934
235		形势		3		0.0934
236		汛期		3		0.0934
237		援藏		3		0.0934
238		再		3		0.0934
239		长		3		0.0934
240		之		3		0.0934
241		职工		3		0.0934
242		制		3		0.0934
243		周		3		0.0934
244		主持		3		0.0934
245		抓		3		0.0934
246		最大		3		0.0934
247		作为		3		0.0934
248		？		2		0.0623
249		+		2		0.0623
250		14		2		0.0623
251		20		2		0.0623
252		3		2		0.0623
253		40		2		0.0623
254		板		2		0.0623
255		本		2		0.0623
256		编制		2		0.0623
257		表彰		2		0.0623
258		并		2		0.0623
259		不误		2		0.0623
260		步		2		0.0623
261		成立		2		0.0623
262		创作		2		0.0623
263		春天		2		0.0623
264		大合唱		2		0.0623
265		大赛		2		0.0623
266		地区		2		0.0623
267		第一次		2		0.0623
268		东		2		0.0623
269		短		2		0.0623
270		断流		2		0.0623
271		对话		2		0.0623
272		而		2		0.0623
273		防范		2		0.0623
274		防总		2		0.0623
275		访		2		0.0623
276		放		2		0.0623
277		肺炎		2		0.0623
278		奋进		2		0.0623
279		奋力		2		0.0623
280		封河		2		0.0623
281		逢		2		0.0623
282		赴		2		0.0623
283		复		2		0.0623
284		干部		2		0.0623
285		高度		2		0.0623
286		个		2		0.0623
287		各项		2		0.0623
288		工		2		0.0623
289		攻坚		2		0.0623
290		冠		2		0.0623
291		国家		2		0.0623
292		海燕		2		0.0623
293		毫不		2		0.0623
294		河段		2		0.0623
295		河南		2		0.0623
296		狠抓		2		0.0623
297		互联网		2		0.0623
298		活动		2		0.0623
299		获		2		0.0623
300		急调		2		0.0623
301		集体		2		0.0623
302		集中		2		0.0623
303		技术		2		0.0623
304		继续		2		0.0623
305		加大		2		0.0623
306		加强		2		0.0623
307		坚定不移		2		0.0623
308		建议		2		0.0623
309		降雨		2		0.0623
310		节约		2		0.0623
311		今年		2		0.0623
312		静悄悄		2		0.0623
313		局长		2		0.0623
314		聚焦		2		0.0623
315		开创		2		0.0623
316		开河		2		0.0623
317		开启		2		0.0623
318		开闸		2		0.0623
319		抗击		2		0.0623
320		科长		2		0.0623
321		李		2		0.0623
322		力量		2		0.0623
323		玲		2		0.0623
324		码		2		0.0623
325		母亲		2		0.0623
326		凝聚		2		0.0623
327		农时		2		0.0623
328		培训班		2		0.0623
329		篇		2		0.0623
330		评选		2		0.0623
331		齐鲁		2		0.0623
332		其		2		0.0623
333		强化		2		0.0623
334		庆祝		2		0.0623
335		取得		2		0.0623
336		全		2		0.0623
337		人才		2		0.0623
338		人民日报		2		0.0623
339		认真		2		0.0623
340		日		2		0.0623
341		日前		2		0.0623
342		三轮		2		0.0623
343		扫		2		0.0623
344		上新台阶		2		0.0623
345		深度		2		0.0623
346		十九		2		0.0623
347		实施		2		0.0623
348		实现		2		0.0623
349		视频		2		0.0623
350		书记		2		0.0623
351		水库		2		0.0623
352		水位		2		0.0623
353		四十		2		0.0623
354		四中全会		2		0.0623
355		提升		2		0.0623
356		调		2		0.0623
357		脱贫		2		0.0623
358		网络		2		0.0623
359		我		2		0.0623
360		务		2		0.0623
361		下泄		2		0.0623
362		先锋		2		0.0623
363		先进		2		0.0623
364		现场		2		0.0623
365		项目		2		0.0623
366		小浪底		2		0.0623
367		携手		2		0.0623
368		写		2		0.0623
369		信息化		2		0.0623
370		修订		2		0.0623
371		研究		2		0.0623
372		研判		2		0.0623
373		研讨会		2		0.0623
374		演练		2		0.0623
375		要求		2		0.0623
376		一		2		0.0623
377		意见		2		0.0623
378		印发		2		0.0623
379		应		2		0.0623
380		应对		2		0.0623
381		映		2		0.0623
382		勇		2		0.0623
383		渔业		2		0.0623
384		原		2		0.0623
385		缘何		2		0.0623
386		扎实		2		0.0623
387		闸		2		0.0623
388		张		2		0.0623
389		针对性		2		0.0623
390		整改		2		0.0623
391		政治		2		0.0623
392		支援		2		0.0623
393		治黄		2		0.0623
394		周年		2		0.0623
395		主动		2		0.0623
396		驻		2		0.0623
397		抓好		2		0.0623
398		专家		2		0.0623
399		准备		2		0.0623
400		资源		2		0.0623
401		淄博		2		0.0623
402		综合		2		0.0623
403		综述		2		0.0623
404		组长		2		0.0623
405		.		1		0.0311
406		/w		1		0.0311
407		[		1		0.0311
408		]		1		0.0311
409		1		1		0.0311
410		122		1		0.0311
411		1770		1		0.0311
412		4		1		0.0311
413		450		1		0.0311
414		6		1		0.0311
415		7		1		0.0311
416		8000		1		0.0311
417		9		1		0.0311
418		98		1		0.0311
419		Ⅲ		1		0.0311
420		爱		1		0.0311
421		安		1		0.0311
422		安度		1		0.0311
423		按照		1		0.0311
424		把握		1		0.0311
425		班坝		1		0.0311
426		班组		1		0.0311
427		办		1		0.0311
428		办案		1		0.0311
429		办法		1		0.0311
430		帮扶		1		0.0311
431		保		1		0.0311
432		报道		1		0.0311
433		报告会		1		0.0311
434		备忘录		1		0.0311
435		备战		1		0.0311
436		比赛		1		0.0311
437		毕华威		1		0.0311
438		闭幕		1		0.0311
439		变		1		0.0311
440		标准		1		0.0311
441		标准化		1		0.0311
442		表扬		1		0.0311
443		滨州		1		0.0311
444		并举		1		0.0311
445		渤海湾		1		0.0311
446		补水		1		0.0311
447		不负		1		0.0311
448		不折不扣		1		0.0311
449		布局		1		0.0311
450		才		1		0.0311
451		财经		1		0.0311
452		财务		1		0.0311
453		采砂		1		0.0311
454		侧记		1		0.0311
455		策		1		0.0311
456		层次		1		0.0311
457		产		1		0.0311
458		畅		1		0.0311
459		倡议		1		0.0311
460		唱响		1		0.0311
461		超越		1		0.0311
462		潮涌		1		0.0311
463		陈		1		0.0311
464		成果		1		0.0311
465		成绩		1		0.0311
466		成为		1		0.0311
467		成员		1		0.0311
468		成长		1		0.0311
469		乘势		1		0.0311
470		程序		1		0.0311
471		筹措		1		0.0311
472		出发		1		0.0311
473		出台		1		0.0311
474		初步		1		0.0311
475		处		1		0.0311
476		传输		1		0.0311
477		创建		1		0.0311
478		春秋		1		0.0311
479		从严		1		0.0311
480		崔存勇		1		0.0311
481		措		1		0.0311
482		措施		1		0.0311
483		答		1		0.0311
484		打		1		0.0311
485		打赢		1		0.0311
486		打造		1		0.0311
487		大桥		1		0.0311
488		大汶河		1		0.0311
489		大型		1		0.0311
490		大禹		1		0.0311
491		代表大会		1		0.0311
492		担当		1		0.0311
493		当前		1		0.0311
494		党费		1		0.0311
495		党风		1		0.0311
496		党纪		1		0.0311
497		党建		1		0.0311
498		党课		1		0.0311
499		党支部		1		0.0311
500		道义		1		0.0311
501		得		1		0.0311
502		砥砺		1		0.0311
503		第二		1		0.0311
504		第一		1		0.0311
505		点		1		0.0311
506		淀		1		0.0311
507		丁字		1		0.0311
508		定		1		0.0311
509		定位		1		0.0311
510		东平湖		1		0.0311
511		动		1		0.0311
512		督导		1		0.0311
513		度汛		1		0.0311
514		段长		1		0.0311
515		对接		1		0.0311
516		对口		1		0.0311
517		多		1		0.0311
518		多样性		1		0.0311
519		夺		1		0.0311
520		发表		1		0.0311
521		发布		1		0.0311
522		发出		1		0.0311
523		发挥		1		0.0311
524		反馈		1		0.0311
525		返		1		0.0311
526		范例		1		0.0311
527		范围		1		0.0311
528		方案		1		0.0311
529		方向		1		0.0311
530		防凌会		1		0.0311
531		防线		1		0.0311
532		防汛抗洪		1		0.0311
533		防疫		1		0.0311
534		放松		1		0.0311
535		分级		1		0.0311
536		分类		1		0.0311
537		服		1		0.0311
538		服务		1		0.0311
539		付费		1		0.0311
540		负心		1		0.0311
541		复工		1		0.0311
542		副		1		0.0311
543		干流		1		0.0311
544		刚性		1		0.0311
545		纲要		1		0.0311
546		岗		1		0.0311
547		高起点		1		0.0311
548		高效能		1		0.0311
549		葛应轩		1		0.0311
550		工人		1		0.0311
551		工业		1		0.0311
552		公布		1		0.0311
553		攻坚战		1		0.0311
554		共		1		0.0311
555		共和国		1		0.0311
556		共同		1		0.0311
557		顾问		1		0.0311
558		关爱		1		0.0311
559		观摩		1		0.0311
560		官		1		0.0311
561		官僚主义		1		0.0311
562		管		1		0.0311
563		管科		1		0.0311
564		管理局		1		0.0311
565		灌溉		1		0.0311
566		灌区		1		0.0311
567		规		1		0.0311
568		规矩		1		0.0311
569		过程		1		0.0311
570		旱情		1		0.0311
571		捍		1		0.0311
572		号		1		0.0311
573		号召		1		0.0311
574		合作		1		0.0311
575		河湖		1		0.0311
576		河流		1		0.0311
577		河长制湖		1		0.0311
578		菏泽		1		0.0311
579		划拨		1		0.0311
580		欢歌		1		0.0311
581		欢颜		1		0.0311
582		黄春		1		0.0311
583		黄河水		1		0.0311
584		回眸		1		0.0311
585		惠		1		0.0311
586		获得者		1		0.0311
587		机制		1		0.0311
588		及		1		0.0311
589		集思广益		1		0.0311
590		记者		1		0.0311
591		纪律		1		0.0311
592		纪实		1		0.0311
593		纪委		1		0.0311
594		技师		1		0.0311
595		济		1		0.0311
596		济南		1		0.0311
597		既定		1		0.0311
598		绩效		1		0.0311
599		暨		1		0.0311
600		加快		1		0.0311
601		嘉奖		1		0.0311
602		坚持		1		0.0311
603		坚决		1		0.0311
604		监测		1		0.0311
